DESIG,OBSID,RA,DEC,SN/g,SUBCLASS
LAMOST J121500.31+271747.4,422607025,183.751322,27.296521,54.84,M
LAMOST J061014.37+210858.9,486301032,92.559897,21.149716,231.63,A
LAMOST J102300.58+325155.0,14111015,155.752447,32.865288,53.87,G
LAMOST J053737.00+103001.7,476115238,84.404206,10.500494,63.22,M
LAMOST J062115.51+052847.1,501906198,95.314657,5.47975,81.47,Ap
LAMOST J050527.28+405650.8,123112099,76.363668,40.947454,72.13,Ap
LAMOST J064149.48-001558.4,385407249,100.455764,-0.266427,199.36,B
LAMOST J054014.57+114214.1,427103217,85.060718,11.703927,123.62,A
LAMOST J061136.08+242047.7,486815019,92.900365,24.34659,144.48,A
LAMOST J101506.14+265750.2,11404125,153.775599,26.963949,174.15,G
LAMOST J055516.50+165944.8,98815195,88.818782,16.995786,81.29,Ap
LAMOST J050513.72+405215.4,315109060,76.307194,40.870959,86.94,Ap
LAMOST J070007.86+060701.0,29906231,105.03275,6.116956,50,Ap
LAMOST J063801.24+010756.8,385405117,99.505199,1.132466,114.77,B
LAMOST J065113.20+015254.4,368902227,102.805003,1.881788,160.4,B
LAMOST J154901.81+525214.0,53109187,237.25756,52.870583,50.2,K
LAMOST J073500.26-023032.6,436213148,113.751118,-2.509083,191.57,A
LAMOST J061052.69+130724.5,679501127,92.719548,13.123484,125.22,Ap
LAMOST J131302.54+270016.5,51305123,198.259872,27.004587,63.69,K
LAMOST J080312.20+303435.0,2016189,120.80086,30.576412,57.15,F
LAMOST J092810.92+281121.7,15913022,142.0439,28.189377,51.04,G
LAMOST J101038.72+261856.9,11405075,152.66134,26.315811,191.4,G
LAMOST J043403.24+530126.4,169406079,68.513514,53.024025,387.11,Ap
LAMOST J061014.37+210858.9,486801032,92.559897,21.149716,233.74,A
LAMOST J064343.65+051615.8,44309185,100.93191,5.27107,284.1,Ap
LAMOST J035626.90+281749.9,1403090,59.112108,28.297214,111.32,F
LAMOST J030309.07-080154.2,55308014,45.78782,-8.03173,166.68,K
LAMOST J191225.70+393020.9,52414026,288.107113,39.505814,52.03,K
LAMOST J043521.85+462246.7,36910050,68.841062,46.379662,104.17,Ap
LAMOST J061334.42+230316.2,485104101,93.393457,23.054503,309.16,A
LAMOST J020020.09+092310.9,55715203,30.08374,9.38638,231.34,K
LAMOST J143936.94+212823.3,336306193,219.903921,21.473156,51.75,B
LAMOST J064340.23+034449.4,385412176,100.917628,3.74708,64.75,Ap
LAMOST J081905.76+152859.9,476204118,124.77401,15.483332,58.82,M
LAMOST J032009.14+210932.2,476014202,50.038085,21.158964,53.13,M
LAMOST J162103.88+381835.9,50515064,245.266187,38.309987,56.46,K
LAMOST J062329.25+270832.4,902195,95.87188,27.14234,50.28,F
LAMOST J115816.98+580514.2,49513078,179.57076,58.087292,57.48,K
LAMOST J131447.91+294245.1,51311056,198.700756,29.712297,80.85,K
LAMOST J053137.67+404641.9,294406059,82.906968,40.778313,61.83,Ap
LAMOST J062058.14+160225.7,267705193,95.242263,16.04048,129,B
